year,GNI,GDP,tax_revenue,Index_Of_Export_Market_Penetration,Taxes_on_goods_and_services_(%_of_revenue),export
2000,1.74403024281547,2.02108869495849,25.0224105830995,16.6361490855686,28.9265046526622,"2,09,01,797.34"
2001,3.21723648608996,3.02737762448122,21.4001999369183,17.5865559012569,30.1500645020905,"2,55,13,727.66"
2002,2.25038078573758,2.06487505778787,20.6569687329492,18.6138883336806,30.3666649476561,"2,93,36,674.75"
2003,6.02233287232382,6.09370548499972,19.0520000314532,19.8604079585119,30.2037153208209,"3,75,33,952.62"
2004,6.23018422126714,6.19365344839693,18.8294781576479,20.4989345610723,29.7148341951265,"4,56,41,786.15"
2005,6.21,6.23,17.72,22.97,30.76,"5,71,77,928.52"
2006,6.33498201351377,6.4032845150854,18.1763080977884,23.802552527298,28.4902742879232,"6,55,86,352.18"
2007,6.42006727905613,6.04817406008833,17.3311169069388,25.0090172848179,24.9002561722875,"8,40,75,505.87"
2008,1.40521141805571,1.58759813631464,16.206727925749,25.7893096673667,26.2640061722715,"8,45,53,364.38"
2009,6.35287838989835,6.35108871136214,13.3289673624999,25.7792277015004,23.7764019046758,"11,36,96,426.38"
2010,6.51688757607481,7.04234688705346,17.1081566364718,27.0771949312208,21.6756344322562,"14,65,95,939.96"
2011,4.09735598359151,3.89393034480594,16.7873089424494,26.9107489624696,24.9818820796394,"6,34,31,828.96"
2012,3.85036908992791,4.16549983071508,17.3183248113882,27.4638274277869,26.004921087417,"19,05,01,108.86"
2013,5.06250322466768,5.13495690740315,15.1524027608082,28.5259952663002,27.3004252798172,"18,96,34,841.76"
2014,6.27041476874479,6.18673198340534,15.0998975309013,28.2460717166224,25.5570369274154,"17,16,38,440.44"
2015,6.81949867618181,6.79703974950297,14.4414133371621,28.122350114378,29.8330069498647,"18,49,43,355.34"
2016,7.00954899555155,6.99700950410826,12.7316024381738,28.6192259017085,31.7640810679621,"19,56,51,452.80"
2017,6.09792600712625,6.03515452770493,12.8082729599697,29.5265300442791,31.5357591365031,"23,07,72,619.38"
2018,5.7691531162,5.7091168855,,27.1453617917229,,"22,19,85,418.10"
